projet_id,mois,annee,duree_projet_jours,nb_collaborateurs_actuels,charge_moyenne,charge_max,nb_conflits,nb_surcharges,nb_sous_charges,nb_anomalies_total,nb_collaborateurs_concernes,target_besoin_ressources_mois_suivant
10007,11,2024,303,36,112.28,135.79,3,10,1,14,7,44
10117,3,2026,484,19,94.1,118.61,0,2,1,3,2,26
10111,6,2026,146,9,65.59,104.54,0,0,1,1,1,13
10053,7,2024,224,16,62.58,82.36,2,0,4,6,5,13
10078,1,2025,555,40,73.38,92.29,1,0,0,1,1,38
10015,6,2024,454,12,70.55,87.51,0,0,0,0,0,12
10033,2,2026,95,6,91.94,121.36,1,0,0,1,1,12
10057,1,2026,274,24,120.74,147.61,1,10,3,14,10,17
10098,9,2025,238,146,78.4,85.13,1,5,3,9,8,127
10094,10,2026,257,5,104.6,112.16,0,0,4,4,3,1
10003,11,2025,290,123,98.09,102.23,0,1,0,1,1,145
10048,2,2027,655,81,83.86,95.78,1,0,1,2,1,30
10003,10,2024,290,57,86.52,120.66,4,0,0,4,2,58
10027,7,2026,268,6,72.33,109.56,0,1,2,3,2,2
10022,4,2024,626,12,89.92,100.44,3,2,0,5,3,12
10165,11,2024,864,65,82.03,107.98,0,3,0,3,2,48
10081,2,2025,768,2,112.24,164.6,0,2,0,2,1,4
10120,11,2024,378,13,96.31,109.6,0,5,1,6,4,13
10071,7,2025,540,28,75.78,106.26,0,2,2,4,2,28
10019,12,2024,488,15,86.1,122.87,0,0,0,0,0,13
10032,12,2024,410,226,80.9,92.82,1,0,1,2,1,291
10048,5,2025,655,82,73.91,114.35,4,1,3,8,5,85
10134,7,2024,124,3,49.99,91.78,0,0,0,0,0,1
10034,5,2025,383,31,77.45,112.45,1,0,0,1,1,40
10062,12,2025,286,2,91.41,101.5,2,1,2,5,2,4
10126,10,2027,565,2,86.08,105.71,2,0,0,2,1,1
10022,6,2025,626,15,110.08,156.13,1,2,0,3,2,19
10086,6,2027,139,13,83.59,92.38,0,2,0,2,2,4
10028,4,2025,164,7,52.72,58.53,0,0,2,2,1,1
10055,3,2026,145,15,109.19,155.44,5,0,0,5,3,16
10164,11,2025,498,44,100.32,131.91,2,7,6,15,8,43
10164,5,2026,498,43,116.4,157.86,1,13,0,14,8,51
10043,9,2024,187,7,87.93,110.56,0,3,0,3,3,7
10102,2,2027,654,2,73.07,112.14,2,2,2,6,2,2
10090,4,2025,422,10,93.93,135.8,3,2,1,6,3,11
10154,5,2025,199,158,72.21,79.09,0,0,9,9,7,156
10031,10,2025,881,150,88.14,94.98,0,1,0,1,1,252
10047,12,2024,278,3,96.86,138.39,0,2,2,4,2,2
10102,11,2025,654,7,88.04,100.7,0,0,4,4,3,4
10106,10,2024,697,5,142.55,167.69,2,5,0,7,4,8
10152,11,2025,639,5,131.93,163.68,3,0,1,4,2,3
10144,3,2026,189,18,61.6,66.07,2,7,2,11,10,17
10066,5,2025,132,92,94.36,124.38,3,2,0,5,3,122
10147,9,2024,471,18,98.29,119.86,0,0,1,1,1,31
10079,8,2024,706,7,89.86,122.2,0,1,1,2,2,7
10077,3,2026,219,380,95.47,132.1,20,1,1,22,19,380
10094,8,2025,257,15,68.15,83.79,0,0,0,0,0,16
10064,7,2025,340,9,94.02,109.22,0,0,0,0,0,7
10007,4,2024,303,35,82.77,109.71,0,0,0,0,0,29
10005,12,2024,184,11,85.58,92.62,1,3,1,5,3,13
10152,3,2027,639,3,75.7,94.89,0,0,0,0,0,3
10026,7,2025,115,8,99.0,103.55,0,0,2,2,1,9
10018,4,2024,175,118,99.99,134.66,6,10,1,17,13,52
10098,6,2025,238,108,94.95,129.59,4,0,1,5,4,145
10068,5,2025,851,58,98.35,112.37,0,2,0,2,1,54
10105,12,2025,301,15,100.81,140.17,2,2,0,4,3,21
10027,11,2026,268,5,94.28,139.63,0,2,0,2,1,10
10128,7,2024,746,239,74.71,85.76,0,0,8,8,7,269
10150,2,2025,534,32,122.36,178.21,6,8,0,14,11,37
10153,3,2026,93,16,80.74,92.05,0,0,1,1,0,16
10020,12,2024,119,52,98.05,105.3,0,3,1,4,2,67
10097,5,2026,544,2,93.44,109.88,1,2,0,3,2,9
10043,10,2025,187,10,95.23,115.09,1,0,0,1,1,10
10050,8,2024,750,126,112.51,156.67,10,33,0,43,33,138
10142,12,2025,918,6,97.66,108.82,0,5,1,6,5,6
10017,11,2024,559,132,103.14,142.27,5,9,0,14,11,160
10081,12,2024,768,3,98.99,148.07,1,1,0,2,2,3
10103,4,2026,561,2,91.11,98.92,0,1,1,2,2,2
10077,12,2026,219,363,95.01,133.84,5,0,1,6,4,380
10106,3,2025,697,5,115.04,141.56,1,0,0,1,1,5
10147,6,2024,471,18,72.33,82.91,0,1,1,2,2,16
10096,2,2026,592,8,109.7,138.29,0,0,0,0,0,7
10083,9,2025,131,73,96.31,105.51,2,1,0,3,3,68
10145,3,2026,863,9,109.34,141.16,0,2,4,6,4,10
10146,12,2024,105,7,74.18,106.15,1,0,1,2,1,11
10029,3,2024,904,13,93.81,136.08,2,1,0,3,1,15
10095,3,2025,270,12,85.86,116.05,1,2,3,6,3,14
10132,6,2025,662,52,101.83,141.82,0,9,1,10,5,55
10014,6,2026,128,18,101.98,116.65,0,2,1,3,2,16
10015,7,2025,454,22,85.1,124.6,1,3,0,4,3,28
10124,2,2025,177,9,106.12,131.67,0,1,0,1,1,13
10140,4,2026,672,119,66.09,93.69,4,0,12,16,8,101
10119,9,2025,887,14,88.57,129.26,0,0,2,2,1,13
10119,2,2025,887,12,91.87,105.12,2,0,0,2,1,5
10122,7,2026,593,11,95.84,112.89,1,0,1,2,1,6
10151,5,2025,99,145,83.62,106.15,0,0,2,2,1,158
10065,3,2025,518,222,118.88,151.25,14,60,0,74,33,246
10152,12,2026,639,4,94.27,132.14,0,0,0,0,0,4
10147,2,2027,471,15,101.24,115.87,0,1,0,1,0,13
10127,5,2027,510,11,83.21,121.09,1,2,1,4,3,15
10127,12,2026,510,9,76.17,91.55,0,0,1,1,1,7
10137,12,2025,630,156,134.61,160.66,17,92,3,112,95,189
10042,11,2026,626,19,81.77,113.2,3,0,0,3,3,15
10132,2,2025,662,30,116.59,162.78,2,8,1,11,10,35
10025,6,2024,621,32,69.01,76.83,0,3,5,8,6,30
10169,7,2027,425,13,82.07,102.85,1,0,0,1,1,17
10125,5,2024,862,16,97.57,104.51,0,0,0,0,0,15
10163,2,2024,782,6,81.54,86.12,2,0,2,4,2,5
10094,8,2026,257,10,68.77,108.62,0,2,1,3,2,5
10058,5,2026,304,240,86.37,101.6,1,7,0,8,7,158
10039,7,2025,691,77,90.92,104.3,0,1,7,8,5,38
10162,8,2026,863,20,84.98,112.25,0,2,0,2,1,26
10030,2,2025,243,27,101.01,152.43,2,3,3,8,3,3
10157,5,2026,786,4,77.35,99.76,0,3,0,3,1,1
10037,10,2024,273,5,93.64,103.47,0,0,0,0,0,5
10080,11,2026,639,155,78.0,100.19,0,2,1,3,2,104
10005,8,2026,184,18,92.73,132.59,1,2,0,3,2,19
10017,2,2024,559,144,65.96,81.58,0,0,12,12,9,155
10060,6,2024,192,14,115.55,134.97,1,0,0,1,1,13
10122,3,2025,593,6,111.79,163.54,2,0,2,4,3,7
10080,5,2025,639,177,110.11,142.72,8,29,2,39,32,231
10098,11,2026,238,134,82.82,97.37,0,0,0,0,0,114
10079,5,2025,706,15,76.93,87.1,1,1,3,5,3,16
10121,11,2025,305,380,106.97,144.93,31,23,1,55,47,380
10046,4,2024,221,12,79.42,115.88,0,3,2,5,4,11
10004,2,2026,564,27,88.75,135.44,1,0,1,2,1,32
10087,11,2025,809,11,86.62,97.71,2,3,2,7,4,14
10112,6,2025,434,15,92.75,114.86,0,0,2,2,1,7
10053,3,2026,224,20,90.9,96.65,0,0,0,0,0,16
10068,11,2026,851,88,69.37,77.36,0,0,12,12,6,58
10053,8,2026,224,17,81.7,103.24,0,0,3,3,2,10
10129,1,2024,339,8,84.74,100.18,0,0,0,0,0,2
10103,9,2024,561,3,74.13,95.25,0,0,2,2,1,3
10169,2,2028,425,10,89.98,108.84,0,1,1,2,1,1
10091,2,2025,140,24,76.2,101.69,2,1,0,3,3,26
10014,7,2024,128,11,86.17,103.34,0,2,1,3,2,11
10141,11,2025,910,21,98.41,119.33,1,4,1,6,5,21
10088,2,2026,535,5,87.04,109.18,2,4,1,7,3,4
10122,3,2026,593,13,87.22,127.76,0,4,3,7,6,13
10069,9,2025,570,102,75.35,101.15,0,1,2,3,2,104
10048,12,2024,655,75,79.36,83.71,0,0,2,2,2,66
10115,7,2025,399,46,105.26,124.96,3,2,0,5,4,45
10065,2,2025,518,209,99.23,150.86,9,7,0,16,7,227
10016,10,2024,101,299,113.28,141.97,16,85,0,101,80,255
10057,11,2026,274,21,87.95,126.22,0,0,1,1,1,17
10052,12,2024,319,9,59.97,92.38,0,4,2,6,3,11
10059,10,2025,918,34,86.84,112.44,0,0,3,3,2,22
10124,6,2026,177,8,105.99,148.59,1,3,0,4,3,5
10084,2,2026,607,13,87.52,126.62,1,0,0,1,0,14
10065,7,2025,518,241,75.19,116.86,4,0,34,38,34,199
10003,9,2026,290,155,80.52,90.3,0,0,1,1,1,86
10169,11,2026,425,21,81.82,108.64,2,1,1,4,2,29
10067,10,2026,683,45,106.0,145.81,5,7,0,12,8,31
10151,7,2024,99,108,62.95,89.79,0,0,9,9,7,96
10068,8,2025,851,60,88.84,105.68,2,1,0,3,2,42
10138,2,2026,592,27,89.21,107.13,0,3,1,4,4,33
10107,12,2025,885,22,90.21,95.01,0,0,0,0,0,29
10018,1,2026,175,201,113.04,152.23,20,54,0,74,57,258
10063,6,2025,605,6,89.37,102.17,0,0,0,0,0,7
10015,4,2026,454,32,55.61,76.61,0,1,14,15,7,41
10007,5,2025,303,48,92.66,117.42,0,0,2,2,1,57
10018,8,2025,175,220,105.66,125.0,7,15,1,23,21,226
10099,11,2027,532,3,116.01,157.31,0,0,0,0,0,6
10056,3,2027,414,76,71.11,87.19,0,3,4,7,4,68
10022,9,2027,626,9,95.99,151.64,0,0,1,1,1,9
10167,3,2027,804,38,79.86,106.88,1,0,4,5,2,25
10000,6,2025,605,21,101.78,122.15,0,1,1,2,1,23
10029,2,2025,904,19,80.48,86.71,3,1,0,4,3,26
10060,4,2026,192,13,94.12,134.79,0,2,3,5,4,13
10052,3,2024,319,6,92.54,124.5,0,0,0,0,0,4
10032,10,2025,410,262,76.71,88.74,0,0,0,0,0,228
10058,7,2026,304,196,91.22,101.98,0,0,0,0,0,211
10159,4,2025,165,144,78.94,113.12,1,1,4,6,3,144
10053,1,2025,224,21,87.26,110.75,0,0,0,0,0,14
10154,8,2026,199,126,87.57,95.62,0,0,0,0,0,200
10110,10,2024,675,15,93.01,120.45,0,5,0,5,2,9
10162,11,2024,863,14,93.99,105.9,1,0,0,1,1,11
10084,3,2026,607,13,83.26,89.16,0,3,2,5,2,10
10066,2,2025,132,94,87.74,111.88,1,2,1,4,2,73
10132,9,2024,662,31,83.78,99.39,1,0,4,5,2,28
10091,4,2024,140,15,76.35,117.1,1,4,2,7,4,15
10090,6,2024,422,12,93.97,117.83,2,0,0,2,1,9
10032,8,2024,410,123,73.83,100.09,0,0,5,5,4,93
10034,8,2026,383,15,63.6,103.6,0,0,1,1,0,12
10057,7,2024,274,23,89.15,120.26,2,1,0,3,1,40
10115,8,2026,399,35,122.98,173.35,1,17,0,18,13,33
10079,10,2024,706,10,97.12,128.82,0,0,0,0,0,14
10163,2,2027,782,7,94.75,125.79,0,1,0,1,1,6
10155,8,2026,426,49,95.4,143.41,3,0,0,3,1,49
10004,5,2027,564,34,93.56,111.27,0,2,0,2,1,30
10123,8,2025,194,12,87.08,119.98,1,0,0,1,1,9
10146,5,2025,105,9,83.52,111.79,0,3,1,4,3,11
10168,3,2026,102,274,69.33,84.92,1,1,27,29,22,276
10053,11,2024,224,17,97.24,134.08,0,0,4,4,3,21
10169,6,2026,425,19,106.3,140.91,3,1,0,4,2,27
10084,7,2025,607,13,101.53,112.38,3,0,1,4,2,18
10068,12,2024,851,50,84.92,99.28,0,2,0,2,1,71
10000,9,2025,605,27,110.65,143.97,2,8,0,10,8,26
10085,4,2024,297,5,85.55,123.01,1,1,0,2,1,6
10051,9,2027,536,45,82.66,89.09,0,0,0,0,0,63
10083,5,2025,131,73,62.87,104.71,0,7,13,20,18,43
10107,4,2027,885,20,95.27,108.17,3,1,1,5,4,21
10164,6,2027,498,53,85.47,112.71,0,0,1,1,0,28
10112,4,2025,434,17,110.55,130.32,0,7,2,9,5,14
10005,6,2025,184,23,85.32,113.65,1,0,0,1,1,13
10031,1,2027,881,66,75.03,81.03,0,3,3,6,3,90
10058,4,2026,304,249,87.6,95.91,1,0,0,1,0,174
10139,7,2025,498,96,75.88,89.97,0,2,0,2,1,121
10160,1,2025,592,43,90.51,132.26,1,1,0,2,2,34
10121,1,2026,305,341,74.18,103.85,1,0,9,10,4,376
10093,6,2025,510,14,74.88,102.3,0,0,2,2,2,12
10048,8,2025,655,90,81.52,120.08,2,5,1,8,6,96
10030,8,2025,243,25,91.26,123.21,2,0,1,3,2,34
10155,3,2027,426,36,87.09,109.48,2,3,2,7,5,27
10038,7,2026,221,13,92.73,134.84,2,0,0,2,1,10
10110,6,2024,675,13,102.39,121.46,0,0,0,0,0,7
10048,8,2026,655,105,88.22,102.66,4,4,0,8,5,94
10169,5,2027,425,16,102.84,125.18,0,3,2,5,2,14
10107,5,2027,885,19,59.52,97.37,0,0,6,6,5,15
10126,11,2024,565,2,93.06,104.87,0,1,0,1,1,3
10149,3,2025,722,39,87.39,99.02,2,2,0,4,2,43
10077,9,2026,219,380,76.22,81.58,0,0,26,26,18,213
10051,7,2025,536,50,98.5,103.37,1,1,2,4,2,37
10029,6,2024,904,16,82.44,107.9,0,1,0,1,1,28
10042,12,2025,626,11,58.91,71.46,0,4,0,4,2,15
10018,10,2025,175,187,95.57,132.57,12,0,0,12,9,222
10164,7,2024,498,27,65.66,70.7,0,0,1,1,1,11
10075,7,2025,735,9,83.43,104.19,0,0,0,0,0,6
10138,2,2024,592,13,94.73,127.43,2,0,1,3,2,11
10085,10,2024,297,6,86.88,134.79,3,5,0,8,6,4
10110,3,2025,675,14,82.01,134.19,0,2,0,2,1,17
10157,1,2026,786,4,84.78,125.0,0,1,0,1,0,4
10051,6,2025,536,54,73.17,92.35,2,2,3,7,5,81
10002,1,2027,847,4,83.68,95.85,0,0,0,0,0,4
10056,6,2026,414,92,77.79,115.71,2,1,1,4,3,113
10050,5,2025,750,174,108.57,138.5,13,22,0,35,32,200
10127,6,2025,510,19,69.96,78.07,2,2,4,8,5,17
10117,10,2025,484,20,115.23,154.81,0,0,0,0,0,16
10118,10,2025,692,25,90.35,105.05,0,0,0,0,0,23
10009,10,2025,655,193,101.48,134.89,7,13,0,20,13,169
10148,10,2026,491,47,88.66,125.01,2,0,1,3,2,16
10103,5,2027,561,1,96.55,110.08,1,0,0,1,0,1
10094,4,2024,257,8,84.73,126.54,2,0,1,3,2,9
10020,11,2025,119,82,83.6,106.89,2,0,2,4,3,131
10156,2,2024,175,15,66.78,83.83,0,0,5,5,3,11
10022,9,2024,626,10,109.83,153.72,2,3,0,5,3,9
10002,12,2025,847,4,70.55,96.14,0,2,0,2,1,6
10166,9,2026,134,2,92.16,123.54,0,0,0,0,0,1
10108,2,2026,647,9,80.09,108.37,0,6,5,11,5,6
10143,8,2025,727,50,97.94,109.06,0,0,0,0,0,39
10031,6,2025,881,129,91.13,105.66,4,0,0,4,3,145
10133,10,2025,566,109,69.1,89.82,0,1,4,5,2,99
10045,12,2027,725,11,75.19,117.08,2,0,2,4,3,16
10083,9,2024,131,69,70.81,109.7,0,0,1,1,0,102
10093,6,2027,510,9,99.53,131.49,2,3,0,5,3,12
10111,5,2024,146,6,76.17,88.88,1,0,0,1,1,3
10099,5,2025,532,11,84.52,111.25,2,0,0,2,1,11
10118,5,2026,692,21,64.51,84.48,0,1,4,5,4,19
10003,7,2024,290,46,83.24,99.59,0,2,0,2,1,47
10078,6,2025,555,51,120.5,133.9,0,5,2,7,5,41
10135,11,2025,245,3,107.24,126.07,3,3,1,7,3,5
10029,1,2025,904,18,89.03,102.38,0,3,0,3,2,32
10039,9,2024,691,39,81.96,107.3,1,2,1,4,2,28
10107,4,2026,885,22,90.9,129.65,1,0,0,1,1,22
10155,10,2024,426,32,141.97,185.81,0,22,0,22,18,28
10119,10,2024,887,9,109.53,149.05,0,1,2,3,2,6
10074,3,2024,717,31,79.89,114.12,0,6,0,6,4,16
10167,7,2026,804,53,100.64,127.65,0,3,0,3,2,79
10131,6,2025,446,11,70.27,75.38,1,1,3,5,4,16
10168,4,2025,102,180,86.6,121.77,2,0,0,2,2,250
10005,7,2025,184,19,55.34,61.13,1,1,7,9,6,22
10109,10,2025,200,16,67.65,80.04,0,0,2,2,2,20
10053,5,2026,224,21,79.41,115.19,2,0,2,4,2,25
10140,9,2025,672,100,74.52,109.48,0,0,3,3,2,37
10010,5,2024,809,5,93.64,102.05,0,0,3,3,2,7
10077,3,2027,219,312,82.47,123.23,3,0,2,5,4,214
10057,12,2026,274,15,90.64,96.31,1,1,0,2,1,13
10082,10,2026,860,116,84.16,89.0,0,4,2,6,5,116
10161,4,2026,614,6,84.09,118.06,0,0,2,2,1,8
10030,9,2024,243,31,94.96,124.99,3,0,1,4,3,50
10037,12,2024,273,4,87.95,122.34,0,2,1,3,1,8
10127,6,2027,510,11,73.88,107.9,0,2,0,2,1,9
10015,3,2027,454,17,81.12,107.02,0,0,0,0,0,17
10012,9,2025,423,9,91.0,100.43,0,1,3,4,2,7
10074,4,2026,717,33,85.6,107.93,1,0,2,3,3,37
10106,1,2026,697,6,103.48,108.11,0,0,0,0,0,5
10131,9,2025,446,7,140.88,162.07,0,0,3,3,1,7
10010,8,2024,809,8,75.74,91.61,0,0,0,0,0,11
10095,7,2026,270,10,67.62,88.6,0,0,1,1,1,20
10054,12,2024,871,153,73.87,96.37,2,3,4,9,5,218
10105,7,2024,301,12,90.75,125.26,1,0,0,1,1,15
10152,6,2025,639,6,101.87,116.33,0,5,0,5,4,3
10062,1,2025,286,3,102.31,120.1,3,1,0,4,3,8
10097,1,2025,544,5,80.05,95.95,1,2,2,5,4,1
10034,1,2025,383,17,93.79,136.74,2,0,4,6,5,17
10039,11,2024,691,32,131.2,182.52,3,1,0,4,2,36
10046,8,2025,221,24,77.0,97.19,0,3,0,3,2,30
10133,12,2024,566,97,101.44,114.77,2,8,0,10,5,71
10062,9,2024,286,4,91.92,105.6,0,0,0,0,0,1
10054,4,2024,871,143,65.48,74.07,1,0,16,17,13,116
10008,11,2024,140,30,136.42,179.36,4,16,3,23,11,29
10063,7,2026,605,12,74.29,88.37,2,1,2,5,4,6
10021,2,2025,164,282,94.87,123.67,12,0,0,12,9,380
10132,12,2026,662,44,68.3,106.51,2,2,5,9,5,18
10040,11,2024,729,4,80.59,108.12,1,4,3,8,4,1
10124,2,2027,177,9,66.16,81.34,1,0,0,1,1,12
10059,7,2025,918,25,94.98,106.88,1,0,0,1,0,30
10000,12,2024,605,15,76.01,83.55,0,0,0,0,0,13
10155,10,2025,426,47,114.13,145.09,4,13,0,17,16,25
10095,3,2028,270,8,78.25,98.08,2,4,2,8,6,6
10147,8,2024,471,18,85.87,112.71,0,0,0,0,0,17
10068,2,2027,851,67,82.6,105.76,0,0,1,1,1,42
10154,4,2025,199,131,78.99,112.55,1,1,1,3,1,112
10007,9,2024,303,29,78.77,112.7,0,3,3,6,3,37
10027,9,2027,268,3,89.93,109.84,0,0,0,0,0,2
10001,3,2025,682,8,96.12,127.42,0,0,0,0,0,10
10039,10,2025,691,60,84.77,102.86,0,0,0,0,0,53
10060,11,2024,192,18,92.7,121.16,1,0,3,4,4,10
10069,3,2025,570,60,126.1,157.23,3,20,0,23,18,62
10116,4,2027,631,20,55.0,71.72,3,0,8,11,9,18
10017,1,2026,559,143,100.49,119.23,1,0,9,10,7,159
10125,2,2025,862,25,86.22,106.71,0,5,0,5,4,18
10022,7,2025,626,13,102.18,126.04,2,0,0,2,2,15
10164,9,2024,498,24,80.3,92.22,0,1,0,1,1,12
10032,11,2024,410,197,103.29,150.03,19,28,0,47,27,243
10143,2,2024,727,21,81.09,92.22,1,1,1,3,2,33
10154,7,2026,199,99,88.9,122.61,2,2,0,4,2,190
10103,9,2025,561,1,107.17,164.24,0,0,0,0,0,1
10134,6,2025,124,3,109.76,141.64,1,1,0,2,2,1
10064,7,2024,340,6,82.79,91.89,0,1,0,1,1,7
10005,2,2025,184,13,86.51,113.03,0,0,0,0,0,10
10111,3,2026,146,7,84.77,96.39,0,1,0,1,1,10
10119,6,2025,887,13,97.48,134.94,0,0,0,0,0,16
10059,4,2025,918,27,101.46,133.67,0,2,0,2,1,33
10099,9,2026,532,9,78.58,107.31,0,0,0,0,0,4
10050,7,2024,750,114,94.64,134.91,4,0,0,4,3,59
10089,12,2024,840,5,87.59,127.27,0,3,0,3,2,4
10132,3,2025,662,33,104.8,145.19,1,0,3,4,3,43
10063,12,2024,605,4,92.2,96.86,0,0,0,0,0,5
10056,2,2025,414,53,79.55,104.72,0,2,0,2,1,56
10145,10,2025,863,10,92.0,96.23,0,0,0,0,0,13
10059,8,2026,918,15,74.15,91.76,2,0,0,2,2,22
10017,12,2024,559,105,119.9,151.93,7,32,15,54,23,82
10138,6,2024,592,14,77.91,99.54,1,0,1,2,1,16
10127,2,2027,510,10,88.12,100.57,3,2,0,5,3,8
10019,11,2026,488,25,102.3,114.33,3,0,0,3,3,23
10054,1,2025,871,159,82.31,109.33,1,0,2,3,2,194
10146,10,2025,105,9,106.01,144.53,0,1,0,1,0,16
10109,3,2025,200,18,56.09,81.95,0,0,11,11,8,20
10017,1,2024,559,149,66.64,93.93,0,2,7,9,8,171
10072,9,2026,859,92,90.61,109.96,0,0,0,0,0,97
10079,3,2024,706,5,98.68,113.27,0,0,3,3,2,2
10024,6,2026,549,228,63.91,101.96,1,0,31,32,14,196
10017,6,2024,559,100,111.65,144.76,5,10,0,15,10,149
10130,11,2024,655,11,71.86,103.23,0,1,1,2,2,8
10019,2,2027,488,17,66.32,80.34,0,1,1,2,1,24
10074,7,2026,717,23,104.45,128.05,2,3,2,7,6,44
10093,6,2026,510,13,126.84,146.53,2,5,0,7,5,11
10132,12,2025,662,60,82.83,114.52,3,1,0,4,3,47
10063,5,2027,605,7,78.72,101.41,0,0,2,2,2,4
10118,1,2025,692,17,114.28,150.82,2,7,0,9,5,24
10152,2,2026,639,5,109.34,158.95,0,2,0,2,2,7
10078,6,2026,555,59,97.68,112.46,1,0,1,2,1,70
10124,4,2026,177,7,110.24,154.76,0,0,0,0,0,8
10044,2,2025,187,14,93.05,118.15,1,1,0,2,1,13
10125,3,2025,862,22,92.15,99.84,3,0,1,4,3,22
10064,5,2025,340,9,109.62,137.2,0,0,0,0,0,7
10051,12,2025,536,50,104.31,122.78,2,5,2,9,7,57
10026,6,2025,115,8,110.55,145.56,3,7,2,12,8,11
10128,2,2024,746,231,108.51,131.18,6,41,0,47,24,179
10074,7,2024,717,25,79.74,115.8,0,0,0,0,0,34
10031,3,2026,881,127,105.33,109.5,1,6,1,8,7,125
10138,8,2025,592,24,96.04,122.12,1,0,0,1,1,30
10121,8,2025,305,380,94.09,126.75,6,3,0,9,8,262
10122,3,2027,593,7,87.09,113.28,1,2,2,5,3,7
10160,11,2024,592,31,84.45,95.66,0,0,1,1,1,40
10115,3,2025,399,32,137.0,190.0,2,27,1,30,16,29
10159,10,2026,165,76,78.11,117.97,2,1,0,3,2,49
10002,7,2026,847,4,81.94,90.07,0,2,0,2,1,7
10116,11,2025,631,14,101.11,130.86,1,4,0,5,3,22
